location,specificLocation,time,itemType,crowdLevel,lostCount,weather,dayType
Business Faculty Study Area,Business Faculty Study Area,13:51,card,low,7,cloudy,weekday
Basement Canteen,Basement Canteen,20:21,wallet,high,6,windy,weekday
P and S Cafeteria,P and S Cafeteria,17:32,wallet,low,9,rainy,weekday
P and S Cafeteria,P and S Cafeteria,19:02,card,high,9,windy,weekday
Basement Canteen,Basement Canteen,13:29,card,low,1,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,13:41,wallet,high,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,07:13,phone,high,10,rainy,weekend
Juice Bar,Juice Bar,15:36,waterbottle,medium,7,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,13:31,waterbottle,high,8,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,17:14,phone,medium,9,cloudy,weekday
Old Library Space,Old Library Space - 2nd Floor Study Area,09:40,phone,medium,5,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:08,card,high,6,windy,weekday
Library,Library - 1st Floor,19:27,backpack,medium,9,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,16:22,phone,medium,5,rainy,weekday
New Building Canteen,New Building Canteen,11:49,card,high,9,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,10:44,laptop,high,9,sunny,weekend
Anohana Canteen,Anohana Canteen,15:58,phone,medium,5,windy,weekend
P and S Cafeteria,P and S Cafeteria,21:41,laptop,low,5,rainy,weekday
P and S Cafeteria,P and S Cafeteria,09:59,phone,high,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,09:34,card,medium,4,cloudy,weekday
New Building Canteen,New Building Canteen,19:59,phone,high,8,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:03,phone,high,7,sunny,weekday
New Building Canteen,New Building Canteen,09:08,backpack,high,8,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,18:07,wallet,high,8,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,06:58,wallet,low,1,windy,weekend
Library,Library - 1st Floor,12:27,wallet,medium,7,rainy,weekend
P and S Cafeteria,P and S Cafeteria,11:26,waterbottle,high,9,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,10:53,waterbottle,medium,5,windy,weekend
Library,Library - 1st Floor,19:14,waterbottle,medium,10,cloudy,weekday
Library,Library - 1st Floor,20:47,card,medium,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,23:04,keys,high,2,windy,weekend
New Building Canteen,New Building Canteen,23:11,waterbottle,high,9,sunny,weekday
P and S Cafeteria,P and S Cafeteria,07:37,waterbottle,high,9,windy,weekday
Library,Library - 1st Floor,12:12,backpack,medium,9,rainy,weekend
Library,Library - 1st Floor,21:03,waterbottle,medium,4,windy,weekday
Juice Bar,Juice Bar,12:39,keys,medium,3,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,15:51,wallet,medium,3,sunny,weekday
New Building Canteen,New Building Canteen,18:07,keys,medium,8,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,14:28,backpack,high,10,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:27,laptop,medium,3,sunny,weekend
P and S Cafeteria,P and S Cafeteria,13:59,wallet,high,10,windy,weekend
Library,Library - 2nd Floor,11:41,backpack,high,9,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,23:55,card,medium,9,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,13:21,keys,high,10,sunny,weekend
P and S Cafeteria,P and S Cafeteria,15:34,phone,high,5,sunny,weekday
Library,Library - 1st Floor,23:59,document,low,1,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,08:14,laptop,low,5,windy,weekend
Library,Library - 2nd Floor,12:45,waterbottle,high,9,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:24,wallet,medium,4,windy,weekday
Anohana Canteen,Anohana Canteen,21:38,phone,medium,7,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,15:31,waterbottle,high,9,rainy,weekday
Anohana Canteen,Anohana Canteen,13:47,phone,high,9,cloudy,weekend
New Building Canteen,New Building Canteen,11:00,waterbottle,high,10,windy,weekday
Old Library Space,Old Library Space - Computer Section,07:02,waterbottle,low,4,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,06:49,card,high,10,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,21:52,wallet,medium,2,sunny,weekend
Juice Bar,Juice Bar,19:08,phone,medium,6,cloudy,weekday
Library,Library - 1st Floor,21:31,keys,medium,5,windy,weekday
P and S Cafeteria,P and S Cafeteria,11:33,card,high,10,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,19:50,card,high,7,cloudy,weekday
New Building Canteen,New Building Canteen,07:08,laptop,medium,3,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,16:36,waterbottle,high,10,rainy,weekday
Anohana Canteen,Anohana Canteen,22:03,waterbottle,medium,6,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,13:37,wallet,high,9,sunny,weekday
Library,Library - 1st Floor,11:39,document,high,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:02,keys,medium,10,sunny,weekend
Library,Library - 2nd Floor,14:59,keys,high,10,rainy,weekday
Anohana Canteen,Anohana Canteen,00:34,backpack,medium,3,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,07:43,laptop,high,8,windy,weekday
Juice Bar,Juice Bar,11:50,waterbottle,medium,8,cloudy,weekday
Library,Library - 2nd Floor,15:21,keys,high,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,16:09,laptop,medium,9,windy,weekend
P and S Cafeteria,P and S Cafeteria,11:33,phone,medium,7,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:40,backpack,medium,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,12:29,waterbottle,high,10,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,23:34,keys,low,1,sunny,weekend
Old Library Space,Old Library Space - Computer Section,22:50,backpack,medium,5,sunny,weekday
Anohana Canteen,Anohana Canteen,20:34,laptop,low,7,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:31,card,high,1,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,11:40,phone,low,5,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,18:08,waterbottle,medium,7,rainy,weekend
New Building Canteen,New Building Canteen,11:40,waterbottle,high,10,rainy,weekday
New Building Canteen,New Building Canteen,08:18,card,high,9,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,20:38,backpack,high,9,cloudy,weekday
Library,Library - 1st Floor,13:47,phone,medium,4,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:26,waterbottle,high,9,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,06:42,wallet,medium,3,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,10:41,waterbottle,medium,5,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,11:38,phone,medium,8,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:15,backpack,medium,10,rainy,weekday
Juice Bar,Juice Bar,19:17,wallet,medium,4,sunny,weekday
3rd Floor Study Area,3rd Floor Study Area,17:46,keys,low,2,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,14:24,wallet,high,10,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,15:52,waterbottle,medium,8,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,11:19,laptop,medium,5,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,10:39,keys,high,8,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,02:06,document,medium,10,cloudy,weekday
Basement Canteen,Basement Canteen,13:50,waterbottle,high,10,sunny,weekend
New Building Canteen,New Building Canteen,09:58,keys,high,9,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,13:17,laptop,high,5,rainy,weekend
P and S Cafeteria,P and S Cafeteria,12:42,card,high,10,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:10,keys,medium,3,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,16:44,keys,high,9,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:16,laptop,medium,7,windy,weekend
New Building Canteen,New Building Canteen,11:03,wallet,high,9,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,08:51,card,high,9,sunny,weekend
Business Faculty Study Area,Business Faculty Study Area,10:59,wallet,high,5,sunny,weekday
Juice Bar,Juice Bar,16:43,card,medium,6,sunny,weekday
New Building Canteen,New Building Canteen,13:17,waterbottle,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,22:56,backpack,medium,8,windy,weekday
Juice Bar,Juice Bar,14:50,waterbottle,medium,9,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,08:01,phone,low,7,sunny,weekend
New Building Canteen,New Building Canteen,21:52,document,medium,7,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,22:42,keys,medium,6,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:32,backpack,high,10,windy,weekday
New Building Canteen,New Building Canteen,12:08,backpack,high,10,rainy,weekend
P and S Cafeteria,P and S Cafeteria,23:54,keys,medium,4,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,13:15,keys,high,8,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,19:42,backpack,medium,7,cloudy,weekday
Juice Bar,Juice Bar,17:57,wallet,medium,3,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,22:32,keys,medium,8,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,19:19,wallet,high,10,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,06:24,phone,medium,7,cloudy,weekend
New Building Canteen,New Building Canteen,19:04,keys,high,8,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:51,phone,medium,8,rainy,weekend
Anohana Canteen,Anohana Canteen,17:42,keys,medium,4,windy,weekend
Anohana Canteen,Anohana Canteen,07:49,waterbottle,high,8,cloudy,weekday
Juice Bar,Juice Bar,13:14,phone,low,1,cloudy,weekend
New Building Canteen,New Building Canteen,07:23,card,low,5,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:12,wallet,medium,8,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,22:29,waterbottle,medium,3,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,10:00,waterbottle,high,10,rainy,weekday
Library,Library - 1st Floor,12:33,keys,medium,1,rainy,weekday
New Building Canteen,New Building Canteen,11:00,phone,high,9,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,17:21,backpack,high,8,windy,weekday
Anohana Canteen,Anohana Canteen,11:09,laptop,medium,2,sunny,weekday
Library,Library - 2nd Floor,22:41,waterbottle,medium,7,windy,weekday
Library,Library - 1st Floor,13:10,backpack,high,6,windy,weekday
Library,Library - 1st Floor,15:41,phone,medium,7,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,14:46,waterbottle,high,10,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,22:49,phone,medium,6,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,20:21,laptop,medium,2,windy,weekday
P and S Cafeteria,P and S Cafeteria,10:43,waterbottle,high,10,sunny,weekday
P and S Cafeteria,P and S Cafeteria,18:17,waterbottle,high,9,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,18:10,waterbottle,medium,9,sunny,weekday
New Building Canteen,New Building Canteen,15:37,keys,high,9,sunny,weekend
P and S Cafeteria,P and S Cafeteria,14:05,wallet,high,10,rainy,weekday
Old Library Space,Old Library Space - Reference Section,08:12,phone,high,5,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,08:16,keys,medium,8,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,23:01,waterbottle,low,5,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,18:49,wallet,low,1,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,21:25,waterbottle,high,1,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:45,waterbottle,high,9,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,14:31,phone,medium,9,cloudy,weekday
New Building Canteen,New Building Canteen,13:37,keys,high,9,sunny,weekday
New Building Canteen,New Building Canteen,14:09,waterbottle,high,10,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,17:49,document,medium,9,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,17:55,wallet,medium,5,sunny,weekend
Juice Bar,Juice Bar,18:45,wallet,medium,3,sunny,weekday
New Building Canteen,New Building Canteen,17:31,backpack,high,10,sunny,weekday
Juice Bar,Juice Bar,21:27,waterbottle,medium,6,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,11:50,wallet,medium,3,windy,weekend
Business Faculty Study Area,Business Faculty Study Area,21:06,wallet,medium,7,rainy,weekend
3rd Floor Study Area,3rd Floor Study Area,21:01,laptop,medium,1,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,11:48,wallet,high,7,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,10:29,card,medium,8,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,08:44,waterbottle,high,6,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,15:53,waterbottle,high,7,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,17:14,card,high,10,rainy,weekday
Juice Bar,Juice Bar,12:34,phone,low,10,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,11:40,backpack,medium,6,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,16:34,wallet,high,7,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,22:38,waterbottle,medium,9,rainy,weekday
Basement Canteen,Basement Canteen,08:30,wallet,high,10,windy,weekday
Basement Canteen,Basement Canteen,00:26,keys,low,6,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:24,phone,medium,7,windy,weekday
New Building Canteen,New Building Canteen,13:14,waterbottle,high,9,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,22:33,phone,medium,7,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,07:23,backpack,low,4,windy,weekend
Library,Library - 1st Floor,13:58,wallet,high,10,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:32,phone,medium,4,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,19:05,wallet,high,10,rainy,weekend
Old Library Space,Old Library Space - Computer Section,07:48,waterbottle,medium,3,windy,weekday
New Building Canteen,New Building Canteen,14:06,backpack,high,9,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,14:57,waterbottle,medium,5,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,22:21,keys,medium,5,cloudy,weekday
Business Faculty Study Area,Business Faculty Study Area,23:18,keys,medium,5,rainy,weekday
New Building Canteen,New Building Canteen,08:29,keys,high,10,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:50,wallet,medium,3,sunny,weekday
Juice Bar,Juice Bar,15:44,waterbottle,low,1,sunny,weekend
Bird Nest Study Area,Bird Nest Study Area,23:50,waterbottle,low,3,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,19:35,backpack,medium,8,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,20:51,waterbottle,medium,7,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,20:14,keys,medium,6,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:59,card,medium,4,rainy,weekday
New Building Canteen,New Building Canteen,12:05,waterbottle,high,9,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,12:36,keys,high,8,cloudy,weekday
Library,Library - 2nd Floor,16:41,keys,medium,7,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,13:39,card,medium,9,sunny,weekend
P and S Cafeteria,P and S Cafeteria,21:01,phone,medium,8,windy,weekend
Bird Nest Study Area,Bird Nest Study Area,23:14,card,low,1,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,13:07,card,high,6,sunny,weekday
Library,Library - 2nd Floor,08:55,wallet,medium,6,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,11:51,phone,high,8,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:57,waterbottle,medium,7,windy,weekday
New Building Canteen,New Building Canteen,09:32,waterbottle,high,10,rainy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:27,backpack,medium,7,rainy,weekday
Juice Bar,Juice Bar,19:28,keys,high,7,sunny,weekday
New Building Canteen,New Building Canteen,11:14,wallet,high,6,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:41,waterbottle,medium,5,cloudy,weekday
Juice Bar,Juice Bar,09:12,card,low,2,sunny,weekday
Anohana Canteen,Anohana Canteen,19:35,phone,high,6,sunny,weekday
Library,Library - 1st Floor,06:50,card,medium,9,windy,weekday
Basement Canteen,Basement Canteen,10:55,phone,high,7,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,19:35,keys,high,3,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,16:37,phone,medium,4,cloudy,weekend
Library,Library - 2nd Floor,10:07,waterbottle,high,7,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,14:05,backpack,high,9,rainy,weekday
New Building Canteen,New Building Canteen,13:51,phone,high,10,rainy,weekend
Library,Library - 1st Floor,10:17,waterbottle,medium,5,rainy,weekend
Library,Library - 2nd Floor,06:56,waterbottle,medium,5,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,20:38,keys,medium,8,windy,weekend
Juice Bar,Juice Bar,06:11,card,low,1,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,23:41,keys,high,10,rainy,weekday
New Building Canteen,New Building Canteen,09:17,waterbottle,high,9,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,20:08,waterbottle,medium,6,rainy,weekday
P and S Cafeteria,P and S Cafeteria,14:23,waterbottle,high,10,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,21:52,wallet,medium,4,windy,weekday
3rd Floor Study Area,3rd Floor Study Area,16:34,document,low,1,cloudy,weekend
P and S Cafeteria,P and S Cafeteria,17:55,waterbottle,high,10,windy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:11,keys,medium,5,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,03:17,phone,medium,2,cloudy,weekend
Anohana Canteen,Anohana Canteen,23:39,waterbottle,high,6,sunny,weekend
New Building Canteen,New Building Canteen,09:01,backpack,high,6,sunny,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,17:57,keys,medium,5,rainy,weekend
Bird Nest Study Area,Bird Nest Study Area,14:01,backpack,medium,6,sunny,weekend
3rd Floor Study Area,3rd Floor Study Area,23:43,wallet,low,1,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,19:09,card,medium,5,cloudy,weekday
Library,Library - 1st Floor,21:13,waterbottle,low,5,cloudy,weekend
Library,Library - 2nd Floor,13:58,waterbottle,medium,5,sunny,weekday
Old Library Space,Old Library Space - Computer Section,13:18,waterbottle,medium,9,windy,weekend
3rd Floor Study Area,3rd Floor Study Area,20:08,document,low,3,sunny,weekend
Old Library Space,Old Library Space - Reading Room,00:14,wallet,low,9,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,07:09,laptop,high,1,sunny,weekday
New Building Canteen,New Building Canteen,13:19,wallet,high,9,sunny,weekend
P and S Cafeteria,P and S Cafeteria,11:00,wallet,high,10,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,11:46,backpack,medium,2,rainy,weekday
New Building Canteen,New Building Canteen,12:15,phone,high,10,cloudy,weekend
Juice Bar,Juice Bar,17:51,waterbottle,medium,4,windy,weekday
New Building Canteen,New Building Canteen,14:16,waterbottle,high,8,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,14:10,waterbottle,medium,7,windy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,10:39,phone,medium,6,cloudy,weekend
Business Faculty Study Area,Business Faculty Study Area,20:13,phone,medium,5,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,12:25,document,medium,8,windy,weekday
P and S Cafeteria,P and S Cafeteria,09:50,keys,high,9,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,13:52,document,low,5,cloudy,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,10:50,wallet,medium,7,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,15:17,backpack,medium,7,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,15:52,backpack,high,10,sunny,weekday
Library,Library - 1st Floor,09:15,waterbottle,high,9,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:06,waterbottle,medium,7,cloudy,weekend
Bird Nest Study Area,Bird Nest Study Area,21:52,wallet,low,2,rainy,weekend
Bird Nest Canteen,Bird Nest Canteen,03:36,backpack,low,1,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,10:10,backpack,low,5,windy,weekend
P and S Cafeteria,P and S Cafeteria,11:42,waterbottle,high,7,windy,weekday
Old Library Space,Old Library Space - Reading Room,21:24,waterbottle,medium,9,windy,weekday
Business Faculty Study Area,Business Faculty Study Area,09:46,waterbottle,medium,5,cloudy,weekend
Juice Bar,Juice Bar,17:38,card,medium,7,sunny,weekday
Basement Canteen,Basement Canteen,10:53,backpack,medium,6,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,22:57,wallet,high,10,cloudy,weekday
Bird Nest Canteen,Bird Nest Canteen,18:23,wallet,high,8,cloudy,weekday
New Building Canteen,New Building Canteen,18:58,laptop,high,8,sunny,weekday
Business Faculty Study Area,Business Faculty Study Area,07:52,phone,low,4,sunny,weekend
Basement Canteen,Basement Canteen,05:39,phone,low,2,cloudy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,01:31,backpack,low,5,sunny,weekday
P and S Cafeteria,P and S Cafeteria,11:21,keys,high,10,sunny,weekday
Bird Nest Study Area,Bird Nest Study Area,19:17,backpack,medium,7,sunny,weekend
New Building Canteen,New Building Canteen,18:29,keys,high,10,rainy,weekend
Basement Canteen,Basement Canteen,13:26,phone,high,9,windy,weekday
Bird Nest Study Area,Bird Nest Study Area,07:45,wallet,low,1,windy,weekend
Bird Nest Canteen,Bird Nest Canteen,09:39,wallet,high,9,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,18:11,waterbottle,medium,10,sunny,weekday
New Building Canteen,New Building Canteen,15:57,waterbottle,medium,8,sunny,weekend
Library,Library - 2nd Floor,14:33,card,medium,10,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,10:35,waterbottle,medium,5,sunny,weekend
Bird Nest Canteen,Bird Nest Canteen,12:32,card,high,9,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,09:02,waterbottle,high,7,sunny,weekday
New Building Canteen,New Building Canteen,07:42,waterbottle,high,10,cloudy,weekday
Basement Canteen,Basement Canteen,02:04,backpack,medium,10,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,10:09,waterbottle,medium,9,windy,weekend
New Building Canteen,New Building Canteen,20:40,wallet,high,8,rainy,weekday
New Building Canteen,New Building Canteen,16:45,phone,high,8,cloudy,weekday
Juice Bar,Juice Bar,08:17,waterbottle,medium,9,cloudy,weekday
P and S Cafeteria,P and S Cafeteria,16:54,waterbottle,high,10,rainy,weekend
New Building Canteen,New Building Canteen,18:25,wallet,high,6,sunny,weekend
New Building Canteen,New Building Canteen,09:22,wallet,high,10,rainy,weekday
Business Faculty Study Area,Business Faculty Study Area,09:36,wallet,medium,6,cloudy,weekday
Anohana Canteen,Anohana Canteen,03:54,keys,medium,5,sunny,weekday
P and S Cafeteria,P and S Cafeteria,02:36,waterbottle,low,9,sunny,weekend
Old Library Space,Old Library Space - 2nd Floor Study Area,10:30,wallet,high,8,windy,weekday
Bird Nest Canteen,Bird Nest Canteen,11:55,card,high,4,cloudy,weekday
Study Area 4th Floor New Building,Study Area 4th Floor New Building,22:28,keys,medium,4,rainy,weekday
Bird Nest Study Area,Bird Nest Study Area,22:13,wallet,low,2,rainy,weekend
Study Area 4th Floor New Building,Study Area 4th Floor New Building,11:07,keys,medium,9,sunny,weekend
Library,Library - 1st Floor,12:46,card,high,6,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,18:51,card,high,10,rainy,weekday
3rd Floor Study Area,3rd Floor Study Area,13:46,backpack,medium,8,cloudy,weekend
Anohana Canteen,Anohana Canteen,09:58,keys,medium,6,windy,weekday
Library,Library - 1st Floor,09:17,card,high,6,sunny,weekday
Bird Nest Canteen,Bird Nest Canteen,23:07,wallet,low,1,cloudy,weekend
New Building Canteen,New Building Canteen,16:00,waterbottle,low,6,cloudy,weekend
Bird Nest Canteen,Bird Nest Canteen,11:52,phone,high,7,cloudy,weekday
Bird Nest Study Area,Bird Nest Study Area,12:11,waterbottle,medium,8,rainy,weekend
Business Faculty Study Area,Business Faculty Study Area,21:26,waterbottle,medium,7,cloudy,weekend
New Building Canteen,New Building Canteen,19:02,backpack,high,9,sunny,weekday
Anohana Canteen,Anohana Canteen,10:45,wallet,medium,6,sunny,weekend
P and S Cafeteria,P and S Cafeteria,08:20,wallet,high,9,rainy,weekday
Bird Nest Canteen,Bird Nest Canteen,10:01,waterbottle,high,10,sunny,weekend
Basement Canteen,Basement Canteen,10:26,card,medium,4,sunny,weekend
