location,time,itemType,crowdLevel,lostCount,weather,dayType,timestamp,incident_occurred,reported_at
Anohana Canteen,11:44,bag,high,8,stormy,weekday,2024-10-01 11:44:14,,
Basement Canteen,11:47,phone,high,6,rainy,weekday,2024-10-01 11:47:07,,
Bird Nest Canteen,12:23,wallet,very_high,10,sunny,weekday,2024-10-01 12:23:26,,
P and S Cafeteria,12:43,document,very_high,7,stormy,weekday,2024-10-01 12:43:43,,
Study Area 4th Floor New Building,12:56,keys,very_high,5,sunny,weekday,2024-10-01 12:56:02,,
New Building Canteen,13:01,bag,very_high,6,cloudy,weekday,2024-10-01 13:01:20,,
Library,13:01,other,very_high,5,sunny,weekday,2024-10-01 13:01:50,,
Anohana Canteen,13:09,keys,very_high,3,stormy,weekday,2024-10-01 13:09:48,,
Old Library Space,13:14,bag,very_high,5,sunny,weekday,2024-10-01 13:14:53,,
Juice Bar,13:24,document,very_high,7,sunny,weekday,2024-10-01 13:24:08,,
Bird Nest Study Area,13:37,phone,very_high,2,sunny,weekday,2024-10-01 13:37:53,,
Basement Canteen,13:38,document,very_high,5,cloudy,weekday,2024-10-01 13:38:28,,
Bird Nest Canteen,13:51,phone,very_high,3,cloudy,weekday,2024-10-01 13:51:38,,
P and S Cafeteria,14:04,other,medium,4,rainy,weekday,2024-10-01 14:04:20,,
Main Building 5th floor outside space Storage Cabin,14:27,bag,medium,1,stormy,weekday,2024-10-01 14:27:15,,
Anohana Canteen,14:31,document,medium,1,stormy,weekday,2024-10-01 14:31:12,,
P and S Cafeteria,15:07,document,medium,13,sunny,weekday,2024-10-01 15:07:16,,
3rd Floor Study Area,15:08,laptop,high,6,cloudy,weekday,2024-10-01 15:08:38,,
Business Faculty Study Area,15:09,bag,high,6,sunny,weekday,2024-10-01 15:09:31,,
New Building Canteen,15:19,other,high,5,sunny,weekday,2024-10-01 15:19:31,,
Library,15:28,phone,high,4,sunny,weekday,2024-10-01 15:28:17,,
Bird Nest Canteen,15:29,laptop,high,9,sunny,weekday,2024-10-01 15:29:05,,
Basement Canteen,15:42,keys,high,3,cloudy,weekday,2024-10-01 15:42:21,,
Juice Bar,15:47,keys,high,6,sunny,weekday,2024-10-01 15:47:41,,
Anohana Canteen,15:58,wallet,medium,4,sunny,weekday,2024-10-01 15:58:55,,
Bird Nest Study Area,16:00,phone,high,1,cloudy,weekday,2024-10-01 16:00:55,,
Library outdoor Space storage,16:11,phone,medium,2,cloudy,weekday,2024-10-01 16:11:20,,
Study Area 4th Floor New Building,16:12,keys,high,1,stormy,weekday,2024-10-01 16:12:54,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,16:20,keys,medium,2,rainy,weekday,2024-10-01 16:20:38,,
P and S Cafeteria,16:31,document,medium,4,sunny,weekday,2024-10-01 16:31:23,,
Old Library Space,16:40,other,medium,2,sunny,weekday,2024-10-01 16:40:10,,
Bird Nest Canteen,16:40,keys,high,4,sunny,weekday,2024-10-01 16:40:17,,
Anohana Canteen,17:17,other,high,7,sunny,weekday,2024-10-01 17:17:53,,
New Building Bio Laboratory outside space Storage Cabins,17:29,bag,high,1,sunny,weekday,2024-10-01 17:29:53,,
Library,17:30,bag,medium,4,sunny,weekday,2024-10-01 17:30:00,,
P and S Cafeteria,17:32,document,high,6,cloudy,weekday,2024-10-01 17:32:37,,
3rd Floor Study Area,17:35,bag,high,1,sunny,weekday,2024-10-01 17:35:46,,
Business Faculty Study Area,18:18,document,low,2,rainy,weekday,2024-10-01 18:18:31,,
Bird Nest Study Area,18:20,bag,low,3,sunny,weekday,2024-10-01 18:20:52,,
P and S Cafeteria,18:29,phone,low,4,rainy,weekday,2024-10-01 18:29:18,,
Old Library Space,18:51,laptop,low,2,sunny,weekday,2024-10-01 18:51:52,,
Study Area 4th Floor New Building,19:07,keys,low,2,sunny,weekday,2024-10-01 19:07:47,,
P and S Cafeteria,19:33,phone,low,7,cloudy,weekday,2024-10-01 19:33:41,,
Library,20:11,wallet,low,1,rainy,weekday,2024-10-01 20:11:00,,
Library,08:05,keys,very_high,2,sunny,weekday,2024-10-02 08:05:36,,
Bird Nest Study Area,08:12,wallet,very_high,5,sunny,weekday,2024-10-02 08:12:06,,
Anohana Canteen,08:30,bag,very_high,5,sunny,weekday,2024-10-02 08:30:13,,
Bird Nest Canteen,08:35,bag,very_high,5,cloudy,weekday,2024-10-02 08:35:13,,
P and S Cafeteria,09:11,keys,high,7,cloudy,weekday,2024-10-02 09:11:28,,
Basement Canteen,09:14,wallet,high,5,sunny,weekday,2024-10-02 09:14:34,,
Study Area 4th Floor New Building,09:22,other,medium,1,cloudy,weekday,2024-10-02 09:22:34,,
New Building Canteen,09:25,laptop,high,3,cloudy,weekday,2024-10-02 09:25:48,,
Anohana Canteen,09:30,document,high,6,sunny,weekday,2024-10-02 09:30:11,,
Main Building 5th floor outside space Storage Cabin,09:42,phone,high,1,cloudy,weekday,2024-10-02 09:42:11,,
New Building Bio Laboratory outside space Storage Cabins,09:45,other,high,3,cloudy,weekday,2024-10-02 09:45:17,,
Bird Nest Canteen,09:56,document,high,5,rainy,weekday,2024-10-02 09:56:54,,
Library,10:00,laptop,high,5,stormy,weekday,2024-10-02 10:00:06,,
Business Faculty Study Area,10:00,laptop,high,3,sunny,weekday,2024-10-02 10:00:57,,
3rd Floor Study Area,10:03,phone,high,1,cloudy,weekday,2024-10-02 10:03:41,,
P and S Cafeteria,10:22,document,medium,8,sunny,weekday,2024-10-02 10:22:50,,
Old Library Space,10:33,bag,high,3,rainy,weekday,2024-10-02 10:33:25,,
Bird Nest Study Area,10:38,bag,high,1,stormy,weekday,2024-10-02 10:38:55,,
Bird Nest Canteen,10:55,phone,high,8,cloudy,weekday,2024-10-02 10:55:59,,
Anohana Canteen,11:07,wallet,high,4,sunny,weekday,2024-10-02 11:07:07,,
New Building Canteen,11:15,document,high,3,rainy,weekday,2024-10-02 11:15:55,,
Basement Canteen,11:21,bag,high,4,cloudy,weekday,2024-10-02 11:21:38,,
P and S Cafeteria,11:23,bag,high,3,rainy,weekday,2024-10-02 11:23:07,,
Juice Bar,11:41,other,medium,2,sunny,weekday,2024-10-02 11:41:00,,
Library outdoor Space storage,12:02,other,very_high,1,cloudy,weekday,2024-10-02 12:02:28,,
Study Area 4th Floor New Building,12:40,other,very_high,2,stormy,weekday,2024-10-02 12:40:44,,
Bird Nest Canteen,12:42,document,very_high,4,rainy,weekday,2024-10-02 12:42:43,,
Library,12:42,document,very_high,3,rainy,weekday,2024-10-02 12:42:51,,
P and S Cafeteria,12:46,bag,very_high,6,sunny,weekday,2024-10-02 12:46:24,,
Anohana Canteen,12:46,bag,very_high,8,sunny,weekday,2024-10-02 12:46:35,,
New Building Canteen,12:51,bag,very_high,4,sunny,weekday,2024-10-02 12:51:19,,
Business Faculty Study Area,12:52,bag,very_high,2,sunny,weekday,2024-10-02 12:52:23,,
Bird Nest Study Area,13:29,document,very_high,1,cloudy,weekday,2024-10-02 13:29:30,,
Basement Canteen,13:34,keys,very_high,5,cloudy,weekday,2024-10-02 13:34:26,,
3rd Floor Study Area,13:46,other,very_high,1,sunny,weekday,2024-10-02 13:46:21,,
P and S Cafeteria,13:56,laptop,very_high,12,cloudy,weekday,2024-10-02 13:56:43,,
Anohana Canteen,13:59,other,very_high,5,sunny,weekday,2024-10-02 13:59:02,,
Old Library Space,14:05,bag,medium,4,cloudy,weekday,2024-10-02 14:05:47,,
Juice Bar,14:26,bag,high,1,stormy,weekday,2024-10-02 14:26:13,,
Bird Nest Canteen,14:31,other,high,2,sunny,weekday,2024-10-02 14:31:54,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,14:45,laptop,high,2,stormy,weekday,2024-10-02 14:45:24,,
New Building Canteen,14:49,keys,high,3,sunny,weekday,2024-10-02 14:49:33,,
Main Building 5th floor outside space Storage Cabin,15:01,keys,high,2,cloudy,weekday,2024-10-02 15:01:56,,
Study Area 4th Floor New Building,15:02,bag,high,1,rainy,weekday,2024-10-02 15:02:52,,
Anohana Canteen,15:11,wallet,high,6,sunny,weekday,2024-10-02 15:11:42,,
P and S Cafeteria,15:11,laptop,high,5,cloudy,weekday,2024-10-02 15:11:48,,
Library,15:26,wallet,high,4,sunny,weekday,2024-10-02 15:26:18,,
Business Faculty Study Area,15:32,laptop,medium,3,cloudy,weekday,2024-10-02 15:32:29,,
Basement Canteen,15:38,other,high,5,cloudy,weekday,2024-10-02 15:38:27,,
Bird Nest Canteen,15:41,phone,high,6,sunny,weekday,2024-10-02 15:41:22,,
Juice Bar,16:01,keys,medium,4,sunny,weekday,2024-10-02 16:01:01,,
Anohana Canteen,16:07,wallet,high,7,cloudy,weekday,2024-10-02 16:07:27,,
P and S Cafeteria,16:08,bag,high,6,cloudy,weekday,2024-10-02 16:08:41,,
New Building Canteen,16:24,other,high,1,sunny,weekday,2024-10-02 16:24:40,,
New Building Bio Laboratory outside space Storage Cabins,16:37,phone,high,1,stormy,weekday,2024-10-02 16:37:48,,
Old Library Space,16:47,other,high,4,stormy,weekday,2024-10-02 16:47:34,,
3rd Floor Study Area,16:55,document,high,2,stormy,weekday,2024-10-02 16:55:11,,
Bird Nest Canteen,16:56,phone,high,7,sunny,weekday,2024-10-02 16:56:27,,
Bird Nest Study Area,17:01,laptop,medium,4,sunny,weekday,2024-10-02 17:01:56,,
P and S Cafeteria,17:03,document,medium,9,sunny,weekday,2024-10-02 17:03:35,,
Library,17:16,other,high,1,sunny,weekday,2024-10-02 17:16:06,,
Study Area 4th Floor New Building,17:27,document,high,1,rainy,weekday,2024-10-02 17:27:18,,
Anohana Canteen,17:39,keys,high,9,sunny,weekday,2024-10-02 17:39:37,,
P and S Cafeteria,18:22,other,low,6,sunny,weekday,2024-10-02 18:22:20,,
Business Faculty Study Area,18:22,bag,low,2,cloudy,weekday,2024-10-02 18:22:40,,
Old Library Space,19:05,bag,low,2,sunny,weekday,2024-10-02 19:05:58,,
P and S Cafeteria,19:24,phone,low,11,sunny,weekday,2024-10-02 19:24:25,,
Bird Nest Study Area,19:34,phone,low,3,sunny,weekday,2024-10-02 19:34:20,,
Library,19:36,phone,low,3,stormy,weekday,2024-10-02 19:36:49,,
Library,21:51,bag,low,3,cloudy,weekday,2024-10-02 21:51:20,,
Old Library Space,08:00,other,very_high,1,cloudy,weekday,2024-10-03 08:00:34,,
Bird Nest Canteen,08:32,bag,very_high,6,sunny,weekday,2024-10-03 08:32:34,,
Anohana Canteen,08:47,bag,very_high,8,cloudy,weekday,2024-10-03 08:47:47,,
P and S Cafeteria,09:06,keys,high,6,cloudy,weekday,2024-10-03 09:06:09,,
Juice Bar,09:15,phone,high,4,rainy,weekday,2024-10-03 09:15:52,,
Bird Nest Canteen,09:37,keys,high,7,rainy,weekday,2024-10-03 09:37:27,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,09:43,keys,high,2,cloudy,weekday,2024-10-03 09:43:58,,
Bird Nest Study Area,09:50,wallet,medium,3,cloudy,weekday,2024-10-03 09:50:20,,
Basement Canteen,09:58,keys,high,5,cloudy,weekday,2024-10-03 09:58:34,,
Library,10:03,laptop,high,7,stormy,weekday,2024-10-03 10:03:28,,
P and S Cafeteria,10:06,laptop,high,7,cloudy,weekday,2024-10-03 10:06:41,,
New Building Bio Laboratory outside space Storage Cabins,10:10,keys,high,1,cloudy,weekday,2024-10-03 10:10:42,,
Anohana Canteen,10:21,laptop,high,3,stormy,weekday,2024-10-03 10:21:29,,
Business Faculty Study Area,10:28,document,high,3,stormy,weekday,2024-10-03 10:28:17,,
3rd Floor Study Area,10:33,wallet,high,2,cloudy,weekday,2024-10-03 10:33:22,,
New Building Canteen,10:41,bag,high,2,cloudy,weekday,2024-10-03 10:41:30,,
Old Library Space,10:52,bag,medium,4,stormy,weekday,2024-10-03 10:52:30,,
P and S Cafeteria,10:56,phone,medium,9,sunny,weekday,2024-10-03 10:56:29,,
Juice Bar,11:00,phone,high,5,rainy,weekday,2024-10-03 11:00:25,,
Study Area 4th Floor New Building,11:12,other,medium,1,sunny,weekday,2024-10-03 11:12:30,,
Bird Nest Canteen,11:16,document,high,3,cloudy,weekday,2024-10-03 11:16:53,,
Library outdoor Space storage,11:37,laptop,high,4,sunny,weekday,2024-10-03 11:37:41,,
Main Building 5th floor outside space Storage Cabin,11:38,bag,high,1,stormy,weekday,2024-10-03 11:38:34,,
Anohana Canteen,11:48,bag,high,6,rainy,weekday,2024-10-03 11:48:59,,
Bird Nest Study Area,12:02,phone,very_high,5,sunny,weekday,2024-10-03 12:02:14,,
Library,12:04,bag,very_high,6,sunny,weekday,2024-10-03 12:04:04,,
P and S Cafeteria,12:07,other,very_high,11,rainy,weekday,2024-10-03 12:07:32,,
Basement Canteen,12:07,bag,very_high,3,cloudy,weekday,2024-10-03 12:07:44,,
Bird Nest Canteen,12:22,bag,very_high,5,sunny,weekday,2024-10-03 12:22:18,,
New Building Canteen,12:39,laptop,very_high,6,sunny,weekday,2024-10-03 12:39:51,,
Old Library Space,12:57,keys,very_high,5,sunny,weekday,2024-10-03 12:57:26,,
Juice Bar,13:02,phone,very_high,4,cloudy,weekday,2024-10-03 13:02:42,,
P and S Cafeteria,13:10,phone,very_high,4,cloudy,weekday,2024-10-03 13:10:27,,
Anohana Canteen,13:21,phone,very_high,6,rainy,weekday,2024-10-03 13:21:48,,
Basement Canteen,13:46,phone,very_high,3,sunny,weekday,2024-10-03 13:46:10,,
Business Faculty Study Area,13:49,wallet,very_high,3,cloudy,weekday,2024-10-03 13:49:01,,
Bird Nest Canteen,14:03,wallet,medium,10,cloudy,weekday,2024-10-03 14:03:02,,
P and S Cafeteria,14:11,keys,high,2,sunny,weekday,2024-10-03 14:11:46,,
Library,14:14,bag,medium,3,sunny,weekday,2024-10-03 14:14:14,,
3rd Floor Study Area,14:24,keys,high,2,cloudy,weekday,2024-10-03 14:24:10,,
Anohana Canteen,14:48,phone,high,7,rainy,weekday,2024-10-03 14:48:31,,
New Building Canteen,14:50,wallet,high,4,sunny,weekday,2024-10-03 14:50:12,,
Study Area 4th Floor New Building,14:56,document,high,3,sunny,weekday,2024-10-03 14:56:25,,
Juice Bar,15:09,keys,high,2,sunny,weekday,2024-10-03 15:09:21,,
Basement Canteen,15:13,document,high,5,stormy,weekday,2024-10-03 15:13:25,,
Bird Nest Canteen,15:24,keys,high,4,sunny,weekday,2024-10-03 15:24:17,,
P and S Cafeteria,15:36,other,medium,11,rainy,weekday,2024-10-03 15:36:25,,
Bird Nest Study Area,15:45,other,high,1,sunny,weekday,2024-10-03 15:45:08,,
Anohana Canteen,15:58,phone,medium,4,sunny,weekday,2024-10-03 15:58:38,,
Old Library Space,16:07,bag,high,5,sunny,weekday,2024-10-03 16:07:01,,
Library,16:11,other,high,6,sunny,weekday,2024-10-03 16:11:36,,
Library outdoor Space storage,16:17,other,high,1,sunny,weekday,2024-10-03 16:17:07,,
Business Faculty Study Area,16:32,keys,medium,3,sunny,weekday,2024-10-03 16:32:54,,
Basement Canteen,16:41,laptop,medium,4,sunny,weekday,2024-10-03 16:41:04,,
P and S Cafeteria,16:51,bag,high,7,stormy,weekday,2024-10-03 16:51:10,,
Bird Nest Canteen,16:51,keys,medium,7,stormy,weekday,2024-10-03 16:51:28,,
New Building Canteen,16:51,keys,high,1,rainy,weekday,2024-10-03 16:51:53,,
New Building Bio Laboratory outside space Storage Cabins,16:57,bag,medium,1,cloudy,weekday,2024-10-03 16:57:35,,
Anohana Canteen,17:01,document,high,5,sunny,weekday,2024-10-03 17:01:34,,
3rd Floor Study Area,17:46,document,high,4,sunny,weekday,2024-10-03 17:46:12,,
P and S Cafeteria,17:47,bag,high,7,sunny,weekday,2024-10-03 17:47:56,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,17:52,other,medium,1,sunny,weekday,2024-10-03 17:52:13,,
Bird Nest Study Area,18:05,phone,low,4,sunny,weekday,2024-10-03 18:05:52,,
Study Area 4th Floor New Building,18:31,bag,low,1,stormy,weekday,2024-10-03 18:31:11,,
P and S Cafeteria,18:45,laptop,low,6,cloudy,weekday,2024-10-03 18:45:45,,
Library,18:50,keys,low,5,cloudy,weekday,2024-10-03 18:50:10,,
Business Faculty Study Area,18:50,wallet,low,3,rainy,weekday,2024-10-03 18:50:20,,
Old Library Space,19:25,phone,low,3,cloudy,weekday,2024-10-03 19:25:23,,
P and S Cafeteria,19:32,bag,low,12,rainy,weekday,2024-10-03 19:32:05,,
Library,20:57,other,low,6,sunny,weekday,2024-10-03 20:57:33,,
Old Library Space,08:00,bag,very_high,1,rainy,weekday,2024-10-04 08:00:51,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,08:21,laptop,very_high,2,sunny,weekday,2024-10-04 08:21:09,,
Anohana Canteen,08:26,wallet,very_high,5,sunny,weekday,2024-10-04 08:26:01,,
Library outdoor Space storage,08:30,bag,very_high,1,sunny,weekday,2024-10-04 08:30:38,,
Bird Nest Canteen,08:48,wallet,very_high,4,rainy,weekday,2024-10-04 08:48:31,,
P and S Cafeteria,09:04,wallet,medium,10,cloudy,weekday,2024-10-04 09:04:06,,
Main Building 5th floor outside space Storage Cabin,09:42,other,high,1,sunny,weekday,2024-10-04 09:42:34,,
New Building Canteen,09:47,document,high,2,stormy,weekday,2024-10-04 09:47:23,,
Study Area 4th Floor New Building,09:52,keys,medium,2,sunny,weekday,2024-10-04 09:52:06,,
Anohana Canteen,09:53,phone,high,5,cloudy,weekday,2024-10-04 09:53:25,,
Business Faculty Study Area,10:02,other,high,1,cloudy,weekday,2024-10-04 10:02:49,,
P and S Cafeteria,10:03,phone,medium,14,sunny,weekday,2024-10-04 10:03:08,,
Old Library Space,10:18,keys,high,4,stormy,weekday,2024-10-04 10:18:02,,
Bird Nest Canteen,10:19,phone,high,8,cloudy,weekday,2024-10-04 10:19:56,,
Basement Canteen,10:24,wallet,medium,5,cloudy,weekday,2024-10-04 10:24:46,,
Juice Bar,10:39,phone,high,5,sunny,weekday,2024-10-04 10:39:07,,
Bird Nest Study Area,10:48,wallet,high,2,sunny,weekday,2024-10-04 10:48:08,,
Library,10:48,phone,medium,2,rainy,weekday,2024-10-04 10:48:23,,
Anohana Canteen,10:52,other,high,3,sunny,weekday,2024-10-04 10:52:59,,
3rd Floor Study Area,10:53,document,high,1,cloudy,weekday,2024-10-04 10:53:08,,
P and S Cafeteria,11:24,other,high,6,sunny,weekday,2024-10-04 11:24:08,,
Bird Nest Canteen,11:40,other,high,4,sunny,weekday,2024-10-04 11:40:47,,
Basement Canteen,11:58,laptop,high,2,sunny,weekday,2024-10-04 11:58:45,,
New Building Canteen,12:03,phone,very_high,3,rainy,weekday,2024-10-04 12:03:51,,
P and S Cafeteria,12:12,wallet,very_high,5,sunny,weekday,2024-10-04 12:12:37,,
Anohana Canteen,12:15,document,very_high,7,stormy,weekday,2024-10-04 12:15:58,,
Library,12:38,laptop,very_high,4,cloudy,weekday,2024-10-04 12:38:35,,
Library outdoor Space storage,12:45,bag,very_high,2,cloudy,weekday,2024-10-04 12:45:00,,
Bird Nest Canteen,12:47,laptop,very_high,8,rainy,weekday,2024-10-04 12:47:04,,
P and S Cafeteria,13:02,keys,very_high,3,stormy,weekday,2024-10-04 13:02:13,,
Basement Canteen,13:21,document,very_high,8,rainy,weekday,2024-10-04 13:21:01,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,13:24,bag,very_high,1,cloudy,weekday,2024-10-04 13:24:10,,
Juice Bar,13:27,laptop,very_high,4,sunny,weekday,2024-10-04 13:27:48,,
Bird Nest Study Area,13:29,document,very_high,3,rainy,weekday,2024-10-04 13:29:51,,
New Building Canteen,13:42,keys,very_high,3,cloudy,weekday,2024-10-04 13:42:02,,
Business Faculty Study Area,13:43,other,very_high,1,rainy,weekday,2024-10-04 13:43:57,,
New Building Bio Laboratory outside space Storage Cabins,13:47,phone,very_high,4,stormy,weekday,2024-10-04 13:47:22,,
Study Area 4th Floor New Building,13:50,laptop,very_high,2,rainy,weekday,2024-10-04 13:50:07,,
P and S Cafeteria,13:51,other,very_high,10,cloudy,weekday,2024-10-04 13:51:09,,
Anohana Canteen,13:53,keys,very_high,6,cloudy,weekday,2024-10-04 13:53:57,,
Old Library Space,13:54,document,very_high,3,rainy,weekday,2024-10-04 13:54:18,,
Bird Nest Canteen,14:31,other,medium,4,cloudy,weekday,2024-10-04 14:31:23,,
3rd Floor Study Area,14:51,laptop,medium,1,cloudy,weekday,2024-10-04 14:51:04,,
P and S Cafeteria,15:07,laptop,high,6,cloudy,weekday,2024-10-04 15:07:41,,
Basement Canteen,15:16,other,high,3,sunny,weekday,2024-10-04 15:16:01,,
Library,15:19,wallet,medium,6,stormy,weekday,2024-10-04 15:19:39,,
Anohana Canteen,15:27,phone,high,12,sunny,weekday,2024-10-04 15:27:01,,
New Building Canteen,15:47,bag,medium,4,stormy,weekday,2024-10-04 15:47:01,,
Bird Nest Canteen,15:51,wallet,medium,7,cloudy,weekday,2024-10-04 15:51:44,,
Juice Bar,15:54,other,medium,4,rainy,weekday,2024-10-04 15:54:50,,
Business Faculty Study Area,16:20,wallet,high,1,cloudy,weekday,2024-10-04 16:20:47,,
P and S Cafeteria,16:31,laptop,high,10,cloudy,weekday,2024-10-04 16:31:23,,
Study Area 4th Floor New Building,16:33,document,high,2,cloudy,weekday,2024-10-04 16:33:05,,
Anohana Canteen,16:46,laptop,high,8,cloudy,weekday,2024-10-04 16:46:35,,
Old Library Space,16:46,other,medium,1,sunny,weekday,2024-10-04 16:46:53,,
Bird Nest Study Area,16:49,keys,medium,2,cloudy,weekday,2024-10-04 16:49:01,,
Bird Nest Canteen,16:54,phone,high,7,sunny,weekday,2024-10-04 16:54:23,,
Main Building 5th floor outside space Storage Cabin,17:13,document,medium,3,sunny,weekday,2024-10-04 17:13:39,,
P and S Cafeteria,17:52,keys,medium,3,cloudy,weekday,2024-10-04 17:52:08,,
3rd Floor Study Area,18:23,bag,low,2,sunny,weekday,2024-10-04 18:23:50,,
Library,18:25,document,low,1,rainy,weekday,2024-10-04 18:25:19,,
Business Faculty Study Area,18:54,wallet,low,5,cloudy,weekday,2024-10-04 18:54:21,,
P and S Cafeteria,19:08,bag,low,4,sunny,weekday,2024-10-04 19:08:14,,
Study Area 4th Floor New Building,19:46,laptop,low,5,sunny,weekday,2024-10-04 19:46:09,,
Old Library Space,19:47,laptop,low,2,sunny,weekday,2024-10-04 19:47:23,,
Library,21:30,keys,low,1,cloudy,weekday,2024-10-04 21:30:08,,
Bird Nest Study Area,08:19,phone,high,3,rainy,weekend,2024-10-05 08:19:27,,
Anohana Canteen,08:24,other,very_high,6,sunny,weekend,2024-10-05 08:24:35,,
Bird Nest Canteen,08:36,other,very_high,8,stormy,weekend,2024-10-05 08:36:04,,
P and S Cafeteria,08:54,phone,very_high,5,sunny,weekend,2024-10-05 08:54:30,,
New Building Canteen,09:00,document,high,5,sunny,weekend,2024-10-05 09:00:07,,
Library,09:13,phone,high,1,sunny,weekend,2024-10-05 09:13:22,,
Anohana Canteen,09:21,wallet,medium,4,cloudy,weekend,2024-10-05 09:21:08,,
Basement Canteen,09:48,keys,very_high,1,cloudy,weekend,2024-10-05 09:48:24,,
3rd Floor Study Area,09:48,bag,high,7,sunny,weekend,2024-10-05 09:48:47,,
Bird Nest Canteen,09:54,phone,medium,6,rainy,weekend,2024-10-05 09:54:41,,
Main building 4th floor B401 Laboratory outside space Storage Cabins,09:57,other,high,1,sunny,weekend,2024-10-05 09:57:55,,
Library outdoor Space storage,10:08,phone,high,1,sunny,weekend,2024-10-05 10:08:46,,
P and S Cafeteria,10:16,other,high,8,sunny,weekend,2024-10-05 10:16:33,,
Business Faculty Study Area,10:31,keys,high,1,sunny,weekend,2024-10-05 10:31:59,,
Anohana Canteen,10:41,phone,high,6,sunny,weekend,2024-10-05 10:41:21,,
Juice Bar,10:48,document,high,5,sunny,weekend,2024-10-05 10:48:09,,
Main Building 5th floor outside space Storage Cabin,10:55,phone,medium,1,cloudy,weekend,2024-10-05 10:55:54,,
New Building Bio Laboratory outside space Storage Cabins,11:02,phone,high,1,sunny,weekend,2024-10-05 11:02:44,,
Study Area 4th Floor New Building,11:03,bag,high,1,cloudy,weekend,2024-10-05 11:03:56,,
New Building Canteen,11:03,wallet,high,6,stormy,weekend,2024-10-05 11:03:57,,
Bird Nest Study Area,11:04,document,very_high,4,sunny,weekend,2024-10-05 11:04:23,,
Bird Nest Canteen,11:08,wallet,medium,3,stormy,weekend,2024-10-05 11:08:29,,
Library,11:11,laptop,very_high,3,stormy,weekend,2024-10-05 11:11:51,,
P and S Cafeteria,11:23,document,medium,4,sunny,weekend,2024-10-05 11:23:07,,
Old Library Space,11:24,other,high,3,cloudy,weekend,2024-10-05 11:24:20,,
Basement Canteen,11:25,keys,very_high,2,cloudy,weekend,2024-10-05 11:25:11,,
Anohana Canteen,12:10,bag,high,6,sunny,weekend,2024-10-05 12:10:59,,
P and S Cafeteria,12:30,bag,medium,10,sunny,weekend,2024-10-05 12:30:40,,
New Building Canteen,12:31,wallet,very_high,8,sunny,weekend,2024-10-05 12:31:59,,
Bird Nest Canteen,12:41,wallet,high,4,sunny,weekend,2024-10-05 12:41:03,,
Basement Canteen,12:42,phone,high,5,cloudy,weekend,2024-10-05 12:42:10,,
Juice Bar,13:07,keys,medium,1,cloudy,weekend,2024-10-05 13:07:55,,
